"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"572",527,"527_1","SE",NA,"Syvajärvi",66.8166058571065,23.5437593247937,186.9,65.36,NA,NA,66.8229081036852,23.5280370347334
"573",528,"528_1","SE",NA,"Tåkern",58.3865157221601,14.8372128968985,94.7,4382.98,NA,1.9,58.3513768828319,14.8099397331154
"574",529,"529_1","SE",NA,"Talljärv",66.2766735911986,22.2212705021977,230.2,123.3,NA,NA,66.2849994936414,22.2333986086216
"575",530,"530_1","SE",NA,"Tandsjön",61.747314927604,14.6655644874077,450.7,413.19,3.6,25,61.7257192840641,14.7075601346532
"576",531,"531_1","SE",NA,"Tandsjön",61.0911079796693,12.8740690286811,470.4,179.02,4.6,23,61.0793858370604,12.9000970751915
"577",532,"532_1","SE",NA,"Tängvattnet",65.8309660456643,14.904517670118,473.7,1432.05,25,53.5,65.8305679972835,14.8150368128387
"578",533,"533_1","SE",NA,"Tänndalssjön",62.5276233914055,12.3676582202297,717.3,158.23,6.4,36,62.5333525515295,12.3532135855047
"579",534,"534_1","SE",NA,"Tansen",60.6871481179992,15.4721949216279,138.1,80.26,NA,NA,60.6851928592372,15.4540667000099
"580",535,"535_1","SE",NA,"Tårrajaure",66.4196563489269,19.7415504381148,360,432.08,NA,NA,66.4125805581403,19.7275852335963
"581",536,"536_1","SE",NA,"Tåsjön",64.1607325204431,16.0072199703808,253,4474.78,NA,58,64.2838235981259,15.7796834798989
"582",537,"537_1","SE",NA,"Teen",59.127664335283,14.6733259954353,66.1,603.83,NA,NA,59.1094693620293,14.6683114835158
"583",538,"538_1","SE",NA,"Tegelträsket",63.9394224441876,17.9256688733945,383,387.93,NA,NA,63.9219500816423,17.916868110483
"584",539,"539_1","SE",NA,"Tingstädeträsk",57.732372807037,18.6141407040374,45.3,465.22,0.7,1.6,57.7282083653432,18.6307500877317
"585",540,"540_1","SE",NA,"Tisjön",59.605845535559,15.7863722509681,75,30.89,1.2,2.4,59.6022594953244,15.7886259444815
"586",541,"541_1","SE",NA,"Tisjön (Tysjön)",60.9393577743444,12.9081652604465,432.3,2690.6,NA,20,60.9092891085864,12.9926889777361
"587",542,"542_1","SE",NA,"Tisnaren",58.9450573374846,16.080324935933,44.3,3758.32,7.8,23,58.9459998412931,15.9397879876147
"588",543,"543_1","SE",NA,"Tjåmotisjaure",66.9093138294765,18.5081832851825,296.8,1621.99,NA,26,66.9034540788691,18.4377853421492
"589",544,"544_1","SE",NA,"Tjeggelvas",66.5237608390375,17.790858287306,451.7,6642.18,3.4,65,66.6184896551989,17.5674976957614
"590",545,"545_1","SE",NA,"Toftan",60.6562407643849,15.7824360588631,120.4,761.77,NA,NA,60.6738472185698,15.7851589365988
"591",546,"546_1","SE",NA,"Toften",59.0841766981625,14.6489443788521,75.6,1810.7,NA,11.1,59.0575433133803,14.5876424757626
"592",547,"547_1","SE",NA,"Torneträsk",68.193978645293,19.988619068594,342.6,32753.4,51.8,168,68.3375209707385,19.2593044533076
"593",548,"548_1","SE",NA,"Torpsjön",62.4843635287355,16.2421593222579,59.4,296.98,NA,11,62.4875787286267,16.1861164285231
"594",549,"549_1","SE",NA,"Torrön",63.8985089528529,12.9738527884562,415.7,10231.02,NA,108,63.8929858733801,12.9525300025316
"595",549,"549_2","SE",NA,"Torrön Ängsfjärden",63.8015155161896,13.0648264890508,415.7,10231.02,NA,108,63.8929858733801,12.9525300025316
"596",549,"549_3","SE",NA,"Torrön Norra Delen",63.9587787664282,12.8452243640791,415.7,10231.02,NA,108,63.8929858733801,12.9525300025316
"597",550,"550_1","SE",NA,"Torrvarpen  Norra O. Mellersta Delen",59.7023012106031,14.4996011437706,175,2253.9,14.3,65,59.698151625298,14.501083234823
"598",550,"550_2","SE",NA,"Torrvarpen Södra Delen",59.6667973425848,14.5409095660343,175,2253.9,14.3,65,59.698151625298,14.501083234823
"599",551,"551_1","SE",NA,"Tossåssjön",62.9315484692863,13.2281042823009,764,111.35,NA,NA,62.9332999020354,13.2434086416218
"600",552,"552_1","SE",NA,"Toven",57.6269689347496,16.5677682645769,4.1,68.42,NA,NA,57.6396457941325,16.5735523449829
"601",553,"553_1","SE",NA,"Trängsletsjön Nedre Delen",61.3816215892273,13.7385222888638,422,3631.59,NA,NA,61.5100701048147,13.5385831404503
"602",554,"554_1","SE",NA,"Trehörningssjön",57.6820971222512,13.6712742935247,328.1,159.44,1.4,3.1,57.6826003929531,13.6851223503711
"603",555,"555_1","SE",NA,"Tvärsjön",57.7484003290462,12.3996577569322,97.2,95.89,17.4,34.5,57.7508179842302,12.3936354772003
"604",556,"556_1","SE",NA,"Tyckeln",61.8204395869451,14.6423585616856,408.5,292.98,NA,5,61.8279349920361,14.5982511743431
"605",557,"557_1","SE",NA,"Tyngsjön",60.2798507838684,13.8542136226814,313.3,272.05,NA,NA,60.2765640140811,13.880716800923
"606",3,"3_2","SE",NA,"Uddjaure",65.8464494430756,18.0428822904675,420.9,24714.97,NA,NA,65.9805959888359,17.7249065607569
"607",558,"558_1","SE",NA,"Ullungen",61.3861163779406,15.8237903818805,154.4,108.39,2.2,6,61.3914485841837,15.8135659708611
"608",559,"559_1","SE",NA,"Ulvsjön",61.615877288519,14.1734997653731,583.9,43.87,NA,NA,61.6081927688745,14.1734943706635
