lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
142,142_1,SE,,Hålen,60.43960208180983,16.180719266250723,119.0,22.06,,,60.436821656250125,16.18443495793881
143,143_1,SE,,Hålen,62.640482766950996,14.391756559776411,354.0,505.3,6.9,22.6,62.66699859858269,14.397188724965293
144,144_1,SE,,Hallbosjön,58.858862728227045,16.69947603382654,19.8,1115.72,,,58.8392976284094,16.68241057622363
145,145_1,SE,,Hällerstadsjön,58.45474511406712,16.140392084682745,48.2,145.84,,,58.44213677261809,16.143448074929
146,146_1,SE,,Hällsjön,62.05369261544481,12.670903291932966,539.6,163.18,,,62.06393007259804,12.667946169406644
147,147_1,SE,,Hällsjön,63.457708765709306,13.996806208873101,314.7,546.3,20.2,41.5,63.47145751029943,13.948597996199199
148,148_1,SE,,Halvarsnoren Norra Delen,59.622551334869065,14.609030345858825,165.8,1679.65,12.2,40.0,59.594988993554274,14.604622500125314
149,149_1,SE,,Hammardammen,60.55512237218726,16.28904929825505,137.1,21.25,,,60.55742732487594,16.28291640050297
150,150_1,SE,,Hammerdalssjön,63.538397259966736,15.445301909370375,303.0,1518.69,4.8,16.0,63.57874248540708,15.400031972958267
151,151_1,SE,,Hån,60.179663868518176,14.408956731679835,324.6,314.69,,,60.19578096403582,14.412422039311743
152,152_1,SE,,Hån,61.85688192432907,14.093810756989175,431.1,30.3,,,61.858049245029875,14.083223028732345
153,153_1,SE,,Handsjön,62.46883084245928,14.78429766329236,289.2,498.34,3.8,8.0,62.482115274110186,14.742712492953494
154,154_1,SE,,Hångstadssjön,59.854504879901704,11.972522766910016,121.5,37.78,,,59.862491825417166,11.974512380497247
155,155_1,SE,,Harefjorden,59.159722082827756,12.912735976356752,45.5,1550.03,,9.0,59.203550437613636,12.849677994350289
156,156_1,SE,,Hasselasjön,62.06539675550749,16.814719006015462,121.9,834.23,3.4,17.0,62.081599745151756,16.77124400211583
157,157_1,SE,,Havbältefjorden,56.50528490398607,14.710643105701173,138.4,235.88,,,56.526403020645304,14.730451826657667
158,158_1,SE,,Havern,62.38627115047167,15.101817703237712,259.7,2933.71,10.8,36.0,62.309304345443934,15.10721547217615
158,158_2,SE,,Havern Kyrksjön-Delen,62.36343004904937,15.109693376154594,259.7,2933.71,10.8,36.0,62.309304345443934,15.10721547217615
158,158_3,SE,,Havern Öjesjön-Delen,62.39885445532103,15.021846729744876,259.7,2933.71,10.8,36.0,62.309304345443934,15.10721547217615
159,159_1,SE,,Hedesundafjärden Nedre Delen,60.31435870305465,17.03549082980844,51.9,2983.6,,1.0,60.30835554759971,16.992493998776045
160,160_1,SE,,Helgasjön,56.89099771712768,14.750244037745704,162.7,4829.36,,20.6,56.96444574566824,14.776553428414834
161,161_1,SE,,Helgumsjön,63.15393133325016,16.953128624549823,113.0,836.37,10.4,33.2,63.195993410849226,16.874804968588474
162,162_1,SE,,Hemsjön (Sörbygdsjön),62.77661913534467,16.23275964279336,209.0,506.72,,,62.78490379703386,16.19112610204203
163,163_1,SE,,Hennan,62.02695655813493,15.905720155416349,208.3,2347.1,,,62.07389093755445,15.796209611369793
164,164_1,SE,,Hetögeln,64.38836575343018,14.430823728435415,296.2,2284.88,19.4,60.0,64.42277681590424,14.270807815805696
165,165_1,SE,,Hinsen,60.63950175220086,16.13643394714497,192.9,1184.19,,,60.66186377150267,16.090729037322006
166,166_1,SE,,Hjälmaren Hemfjärden-Delen,59.28032054526535,15.33556900914236,22.3,47434.17,,18.0,59.23878700253138,15.769699988539179
166,166_2,SE,,Hjälmaren Östra Delen,59.26709649418768,16.259657926964476,22.3,47434.17,,18.0,59.23878700253138,15.769699988539179
167,167_1,SE,,Hjälmsjön,56.282153912083956,13.304852339034849,76.6,115.63,4.0,10.0,56.278791456764424,13.309778693050422
168,168_1,SE,,Högsjön,59.03043018661038,15.735334492264075,50.9,315.89,,,59.02731780484792,15.708128401973257
169,169_1,SE,,Hökasjön,58.75255759936275,15.150966717033272,121.4,52.98,,16.3,58.75455718702201,15.130583889652002
170,170_1,SE,,Holdern,63.998245229730124,12.914671248642657,439.9,814.47,,,64.03278449079309,12.898334829850695
171,171_1,SE,,Höljessjön,60.95111252722408,12.542733656971576,304.1,0.28,,,61.04665820289966,12.610211178153731
172,172_1,SE,,Holmsjön,62.422695794548744,15.456487970801625,245.0,5046.29,7.3,24.0,62.439184821945744,15.321032299124074
173,173_1,SE,,"Holmsjön Delen Sandnäset-Västbyn&"",""&",62.677448378912636,16.507733161554537,202.2,3636.16,11.9,38.0,62.677120237656446,16.517305365547866
173,173_2,SE,,Holmsjön Delen So Om Västbysundet,62.64057604090622,16.682326815744016,202.2,3636.16,11.9,38.0,62.677120237656446,16.517305365547866
